Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10590898,A001571935,TV 38 - CL 19  02,2023-05-08,Lunes,20,40,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590899,A001570498,KR 45 - CL 95  02,2023-05-06,Sábado,16,30,CHAPINERO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590909,A001570551,CL 62 - KR 86 A 02,2023-05-09,Martes,23,30,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590911,A001570259,DG 34 A S- KR 81 D 02,2023-05-08,Lunes,17,26,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590920,A001570430,CL 36 S- KR 3 B 02,2023-05-09,Martes,19,52,SAN CRISTOBAL,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586705,A001519636,KR 68 - CL 64  02,2023-01-25,Miércoles,13,18,BARRIOS UNIDOS,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10586710,A001514317,KR 7 - CL 191  02,2023-01-26,Jueves,7,0,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586723,A001519756,CL 36 S- KR 26 B 02,2023-01-24,Martes,12,40,RAFAEL URIBE URIBE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586727,A001519979,CL 11 - KR 31  02,2023-01-25,Miércoles,16,20,PUENTE ARANDA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10586728,A001519678,CL 17 - KR 62  02,2023-01-25,Miércoles,18,50,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587094,A001519914,KR 24 - CL 37 S 02,2023-02-04,Sábado,9,42,RAFAEL URIBE URIBE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587109,A001566768,CL 24 - KR 85 C 02,2023-02-05,Domingo,0,30,FONTIBON,Choque,Tren,Desconocido,Con Heridos,Con Heridos,
10587111,A001519145,KR 68 F - CL 22 B 02,2023-02-04,Sábado,21,0,FONTIBON,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587114,A001566732,CL 72 - KR 107  02,2023-02-03,Viernes,10,43,ENGATIVA,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587250,A001566830,CL 17 - KR 110  02,2023-02-07,Martes,0,11,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587375,A001566992,AV AVENIDA DE LAS AMERICAS - KR 70 A 02,2023-02-09,Jueves,6,15,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587378,A001566993,CL 57 B S- KR 62  02,2023-02-08,Miércoles,15,10,BOSA,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587380,A001519629,CL 119 - KR 52  02,2023-02-10,Viernes,8,40,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587383,A001520125,CL 31 S- KR 7 A 02,2023-02-10,Viernes,16,30,SAN CRISTOBAL,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10587018,A001519323,CL 26 - KR 113  02,2023-02-02,Jueves,21,50,FONTIBON,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587406,A001567197,CL 6 S- KR 24 B 02,2023-02-11,Sábado,17,20,ANTONIO NARIÑO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587418,A001566867,CL 6 - KR 38  02,2023-02-09,Jueves,17,19,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587902,A001567555,CL 24 - KR 68 B 02,2023-02-21,Martes,13,50,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587914,A001567475,CL 12 BIS - KR 71 F 02,2023-02-23,Jueves,10,25,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587927,A001567329,KR 30 - CL 60  02,2023-02-22,Miércoles,15,10,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
