Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10591851,A001571139,AV AVENIDA CIUDAD DE VILLAVICENCIO - CL 57 B S 02,2023-05-26,Viernes,20,43,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591854,A001571298,KR 44 D - DG 69 K S 02,2023-05-31,Miércoles,9,40,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592149,A001570489,CL 26 - KR 25  02,2023-06-08,Jueves,20,0,TEUSAQUILLO,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592358,A001572190,CL 6 - KR 5  02,2023-06-14,Miércoles,6,41,CANDELARIA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592361,A001570128,CL 187 A - KR 8 C 02,2023-06-14,Miércoles,20,15,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592370,A001571474,CL 139 - KR 110  02,2023-06-13,Martes,10,35,SUBA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592372,A001571556,KR 13 B E- CL 41 B S 02,2023-06-14,Miércoles,18,20,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10592378,A001571285,KR 15 - CL 32 BIS S 02,2023-06-14,Miércoles,5,48,RAFAEL URIBE URIBE,Choque,Objeto Fijo,Vehiculo estacionado,Con Heridos,Con Heridos,
10592379,A001571358,CL 49 S- KR 77 V 02,2023-06-13,Martes,12,35,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592766,A001571754,KR 74 - DG 40 C S 02,2023-06-23,Viernes,8,26,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592767,A001572508,KR 69 B - CL 24 S 02,2023-06-23,Viernes,21,40,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592768,A001571462,KR 86 A - CL 58 C 02,2023-06-22,Jueves,17,20,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10592778,A001571759,AK 33 - CL 41 A S 02,2023-06-27,Martes,8,44,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Muertos,Con Muertos,
10592781,A001571853,AV AVENIDA BOYACA - KR 33  02,2023-06-23,Viernes,20,50,TUNJUELITO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593270,A001572855,KR 86 - CL 42 S 02,2023-07-05,Miércoles,12,12,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593385,A001571689,AU NORTE - CL 151  02,2023-07-10,Lunes,19,0,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593386,A001573006,KR 96 - CL 40 S 02,2023-07-09,Domingo,17,21,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593398,A001572931,CL 153 - KR 104  02,2023-07-10,Lunes,12,38,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593417,A001573177,CL 43 S- KR 86  02,2023-07-11,Martes,18,35,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593421,A001573043,KR 2 - CL 9 S 02,2023-07-10,Lunes,19,6,SAN CRISTOBAL,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10593426,A001572382,AV AVENIDA BOYACA - CL 12 B 02,2023-07-04,Martes,20,30,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593428,A001571667,KR 69 B - CL 37 E S 02,2023-07-09,Domingo,8,16,KENNEDY,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10593430,A001572880,CL 26 - KR 66 A 02,2023-07-07,Viernes,13,46,TEUSAQUILLO,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10593520,A001571522,CL 81 - KR 9  02,2023-07-13,Jueves,10,45,CHAPINERO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593532,A001573255,KR 68 D - CL 18 A 02,2023-07-13,Jueves,10,30,FONTIBON,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10593534,A001572562,AV AVENIDA DE LAS AMERICAS - CL 68 F 02,2023-06-30,Viernes,2,41,KENNEDY,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10593537,A001573151,KR 13 - CL 63  02,2023-07-14,Viernes,22,12,CHAPINERO,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10593542,A001572946,AC 71 S- KR 4  02,2023-07-13,Jueves,16,55,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593779,A001572898,KR 3 - CL 91  02,2023-07-18,Martes,2,31,CHAPINERO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593781,A001573456,CL 6 - KR 43  02,2023-07-19,Miércoles,21,0,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593788,A001573209,AV AVENIDA CIUDAD DE CALI - AV AVENIDA CIUDAD DE VILLAVICENCIO  02,2023-07-19,Miércoles,1,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10593810,A001573496,KR 104 - CL 148  02,2023-07-21,Viernes,22,55,SUBA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10594168,A001573737,CL 63 - KR 70  02,2023-07-29,Sábado,23,10,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10594036,A001573490,KR 30 - CL 80  02,2023-07-27,Jueves,10,57,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10594037,A001573703,CL 128 - KR 104 C 02,2023-07-24,Lunes,18,31,SUBA,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10594039,A001573052,CL 57 R S- KR 70 C 02,2023-07-27,Jueves,7,10,BOSA,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10594041,A001573752,KR 30 - CL 61  02,2023-07-28,Viernes,16,48,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Muertos,Con Muertos,
10594175,A001573836,CL 72 - KR 80 C 02,2023-07-30,Domingo,14,30,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591007,A001570215,CL 51 S- KR 34  02,2023-05-10,Miércoles,21,20,TUNJUELITO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591010,A001570521,AK 1 - CL 35  02,2023-05-09,Martes,23,45,SANTA FE,Choque,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591012,A001569898,KR 91 - CL 42 F S 02,2023-05-09,Martes,20,21,KENNEDY,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10591022,A001570549,CL 80 - KR 68  02,2023-05-10,Miércoles,13,45,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591026,A001569880,KR 68 - CL 24 C 02,2023-05-11,Jueves,6,46,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591067,A001570428,AV AVENIDA BOYACA - KR 16 F 02,2023-05-12,Viernes,5,37,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591073,A001570681,KR 101 - CL 83  02,2023-05-12,Viernes,22,21,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591075,A001570290,CL 63 - KR 105  02,2023-05-12,Viernes,19,42,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591088,A001570625,CL 79 - KR 42 C 02,2023-05-14,Domingo,21,3,KENNEDY,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10591091,A001569571,KR 28 - CL 12 A 02,2023-05-13,Sábado,10,40,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591092,A001570323,CL 36 L S- KR 8 E 02,2023-05-14,Domingo,6,50,SAN CRISTOBAL,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10591093,A001570459,KR 66 - CL 4 D 02,2023-05-13,Sábado,15,28,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591097,A001570731,CL 19 - KR 10  02,2023-03-13,Lunes,18,0,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586845,A001520133,KR 115 - DG 146  02,2023-01-28,Sábado,23,30,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586846,A001566652,CL 63 - KR 20  02,2023-01-29,Domingo,21,35,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586918,A001519861,KR 48 B - CL 72 A S 02,2023-01-30,Lunes,13,46,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10586943,A001566754,KR 90 - CL 90  02,2023-02-01,Miércoles,22,30,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586951,A001520155,CL 127 A - KR 81  02,2023-01-31,Martes,7,20,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10586987,A001520126,KR 43 - CL 10  02,2023-01-31,Martes,11,0,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587197,A001516822,CL 63 S- KR 70 G 02,2023-02-06,Lunes,10,33,CIUDAD BOLIVAR,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587244,A001566734,CL 78 B - KR 120 A 02,2023-02-06,Lunes,16,30,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587260,A001566827,CL 62 I - KR 74 B 02,2023-02-07,Martes,12,12,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587262,A001567045,CL 74 C S- KR 14 S 02,2023-02-08,Miércoles,5,30,USME,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587263,A001566821,TV 60 - CL 69 A S 02,2023-02-07,Martes,15,0,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587264,A001566809,CL 51 S- AV AVENIDA CARACAS  02,2023-02-08,Miércoles,8,31,RAFAEL URIBE URIBE,Choque,Vehículo,Desconocido,Con Muertos,Con Heridos,
10587270,A001566748,CL 45 A S- KR 50 A 02,2023-02-08,Miércoles,18,49,ANTONIO NARIÑO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587272,A001566856,CL 2 A - KR 54  02,2023-02-08,Miércoles,9,3,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587279,A001566967,CL 103 S- KR 11  02,2023-02-10,Viernes,2,9,USME,Choque,Objeto Fijo,Otro,Con Heridos,Con Heridos,
10587284,A001566716,KR 54 C - CL 149  02,2023-02-08,Miércoles,2,53,SUBA,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10587293,A001519243,AV AVENIDA PRIMERO DE MAYO - CL 40 A 02,2023-02-08,Miércoles,17,40,PUENTE ARANDA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587321,A001566810,KR 72 - CL 7 C 02,2023-02-09,Jueves,6,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587324,A001566884,CL 63 - KR 86  02,2023-02-08,Miércoles,9,0,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587344,A001566733,KR 91 - CL 68  02,2023-02-09,Jueves,7,10,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587484,A001567072,KR 30 - CL 8 S 02,2023-02-13,Lunes,0,24,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10587765,A001567503,CL 78 B - KR 116  02,2023-02-17,Viernes,15,16,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10587973,A001567757,KR 34 - CL 12  02,2023-02-24,Viernes,11,50,PUENTE ARANDA,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10588009,A001567587,KR 45 - CL 128 B 02,2023-02-24,Viernes,20,40,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588010,A001567589,KR 96 G - CL 19 A 02,2023-02-23,Jueves,15,38,FONTIBON,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588024,A001566964,CL 60 A S- KR 75 A 02,2023-02-23,Jueves,13,52,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588026,A001519233,KR 10 - CL 21 S 02,2023-02-23,Jueves,23,30,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588066,A001567797,CL 80 - KR 68 B 02,2023-02-25,Sábado,14,0,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588262,A001566971,KR 78 B - CL 36 S 02,2023-03-01,Miércoles,21,50,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597039,A001574372,AV AVENIDA PRIMERO DE MAYO - KR 51 A 02,2023-10-08,Domingo,1,44,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597048,A001574991,CL 63 - KR 97  02,2023-10-11,Miércoles,8,30,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597089,A001574427,CL 7 A - TV 78 C 02,2023-10-12,Jueves,6,15,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597098,A001614109,CL 53 - KR 53  02,2023-10-11,Miércoles,17,20,TEUSAQUILLO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597100,A001613845,CL 13 - KR 19  02,2023-10-11,Miércoles,16,37,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597101,A001613857,TV 73 D - CL 40 S 02,2023-10-13,Viernes,0,30,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597102,A001574964,KR 14 - CL 65 C S 02,2023-10-12,Jueves,6,30,USME,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597105,A001576382,KR 84 A - DG 56 S 02,2023-10-09,Lunes,21,6,BOSA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597110,A001574959,AV AVENIDA BOYACA - CL 64  02,2023-10-12,Jueves,8,50,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597111,A001574965,KR 51 - CL 58 D S 02,2023-10-12,Jueves,9,0,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597151,A001613943,DG 4 A - KR 7  02,2023-10-13,Viernes,20,20,SANTA FE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597213,A001576578,KR 10 - CL 67  02,2023-10-13,Viernes,21,56,CHAPINERO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597204,A001575954,CL 26 S- KR 89  02,2023-10-14,Sábado,4,11,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597206,A001613933,AV AVENIDA DE LAS AMERICAS - KR 69 C 02,2023-10-13,Viernes,20,50,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597215,A001574669,AV AVENIDA CIUDAD DE CALI - CL 62 S 02,2023-10-16,Lunes,18,0,BOSA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598210,A001604833,KR 3 A - CL 56  02,2023-11-11,Sábado,15,3,CHAPINERO,Choque,Objeto Fijo,Poste,Con Heridos,Con Heridos,
10598211,A001604675,KR 15 - CL 106  02,2023-11-11,Sábado,0,48,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598216,A001574885,AV AVENIDA CIUDAD DE CALI - CL 68 A 02,2023-11-08,Miércoles,8,15,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598220,A001604836,CL 63 - KR 28  02,2023-11-11,Sábado,11,12,BARRIOS UNIDOS,Volcamiento,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598224,A001604765,KR 110 - CL 75 F 02,2023-11-13,Lunes,20,45,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598258,A001604578,KR 18 - CL 1 D 02,2023-11-09,Jueves,15,0,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598265,A001604515,AV AVENIDA PRIMERO DE MAYO - KR 27  02,2023-11-10,Viernes,6,31,ANTONIO NARIÑO,Atropello,Desconocido,Desconocido,Con Muertos,Con Muertos,
10598269,A001574324,KR 32 A - CL 25 B 02,2023-11-11,Sábado,19,45,TEUSAQUILLO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598280,A001604888,AU NORTE - CL 106  02,2023-11-12,Domingo,16,33,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598281,A001613627,CL 70 D S- KR 20  02,2023-11-04,Sábado,13,30,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10598340,A001604930,CL 17 - KR 62  02,2023-11-14,Martes,5,55,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598819,A001605448,KR 60 - CL 127  02,2023-11-27,Lunes,19,45,SUBA,Otro,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598822,A001605342,DG 47 - KR 75  02,2023-11-27,Lunes,5,45,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597286,A001613834,KR 91 - CL 90 B 02,2023-10-16,Lunes,10,30,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597289,A001613903,AV AVENIDA BOYACA - CL 6 D 02,2023-10-14,Sábado,9,52,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597291,A001574721,CL 27 S- KR 12 F 02,2023-10-17,Martes,11,40,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597294,A001576548,AV AVENIDA BOYACA - CL 22 D 02,2023-10-18,Miércoles,8,10,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597298,A001613969,CL 134 - KR 156 A 02,2023-10-14,Sábado,21,32,SUBA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597299,A001613950,CL 19 - KR 9  02,2023-10-17,Martes,12,30,SANTA FE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597323,A001613823,KR 45 A S- CL 50  02,2023-10-17,Martes,18,32,ANTONIO NARIÑO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597834,A001613476,CL 92 A - KR 60 B BIS 02,2023-10-26,Jueves,13,2,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597852,A001576374,CL 19 - KR 15  02,2023-11-02,Jueves,8,10,LOS MARTIRES,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597860,A001604446,CL 56 A S- KR 33  02,2023-11-03,Viernes,11,30,TUNJUELITO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598051,A001604527,DG 82 - KR 79  02,2023-11-06,Lunes,18,50,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598075,A001604264,KR 1 - CL 42  02,2023-11-07,Martes,8,20,CHAPINERO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598556,A001604968,KR 13 - CL 18  02,2023-11-19,Domingo,17,44,SANTA FE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10595526,A001573651,KR 7 - CL 73  02,2023-09-01,Viernes,9,37,CHAPINERO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10595532,A001575950,KR 1 E- CL 185  02,2023-09-01,Viernes,13,30,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10595539,A001576019,KR 30 - CL 45  02,2023-09-03,Domingo,1,27,TEUSAQUILLO,Choque,Objeto Fijo,Barandas,Con Muertos,Con Muertos,
10595543,A001572234,CL 77 A - KR 77 B BIS 02,2023-09-01,Viernes,6,40,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10595577,A001576093,KR 72 - CL 116  02,2023-09-03,Domingo,18,10,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10595693,A001575868,DG 44 S- KR 74  02,2023-09-08,Viernes,6,43,KENNEDY,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10595694,A001571804,KR 86 - CL 17  02,2023-09-06,Miércoles,7,31,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10595987,A001576131,CL 22 S- KR 8  02,2023-09-14,Jueves,19,12,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596530,A001575991,CL 31 S- KR 10 D 02,2023-09-28,Jueves,9,9,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596776,A001575953,CL 43 S- KR 78 I 02,2023-10-04,Miércoles,23,41,KENNEDY,Choque,Objeto Fijo,Otro,Con Heridos,Con Heridos,
10596859,A001574693,CL 26 - KR 96  02,2023-10-06,Viernes,19,50,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10596862,A001574359,KR 111 C - CL 67  02,2023-10-05,Jueves,9,30,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596863,A001574914,KR 17 - CL 16 S 02,2023-10-07,Sábado,10,11,PUENTE ARANDA,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10596873,A001572118,KR 26 - CL 17 S 02,2023-10-06,Viernes,11,13,ANTONIO NARIÑO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596879,A001575876,KR 16 - CL 10 A BIS S 02,2023-10-05,Jueves,12,10,ANTONIO NARIÑO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596890,A001574535,CL 78 - KR 108 B 02,2023-10-06,Viernes,10,12,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10596904,A001574266,CL 59 C S- KR 87 K 02,2023-10-06,Viernes,12,20,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597383,A001613660,CL 155 BIS - KR 7 A 02,2023-10-20,Viernes,8,40,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597385,A001613752,KR 19 - CL 127  02,2023-10-20,Viernes,11,16,USAQUEN,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597388,A001613776,KR 25 S- CL 85 C 02,2023-10-21,Sábado,5,36,TUNJUELITO,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10597392,A001613642,CL 70 S- TV 50  02,2023-10-23,Lunes,3,55,CIUDAD BOLIVAR,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10597410,A001574958,KR 30 - CL 45 A 02,2023-10-20,Viernes,17,15,TEUSAQUILLO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597411,A001573870,AV AVENIDA CIUDAD DE VILLAVICENCIO - AV AVENIDA PRIMERO DE MAYO  02,2023-10-23,Lunes,22,40,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597453,A001613564,KR 3 - CL 22  02,2023-10-23,Lunes,21,54,SANTA FE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597503,A001574222,CL 71 I S- KR 27 C 02,2023-10-23,Lunes,10,41,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597528,A001613688,CL 63 - KR 73 A 02,2023-10-22,Domingo,22,30,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597791,A001575182,KR 8 A - CL 84 S 02,2023-10-30,Lunes,15,35,USME,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597789,A001604328,KR 29 - CL 78  02,2023-10-31,Martes,21,44,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597793,A001604401,KR 47 B - CL 73 B 02,2023-10-31,Martes,8,10,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597797,A001574600,CL 90 - KR 85 A 02,2023-10-31,Martes,7,20,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597798,A001604332,CL 9 - TV 7 E 02,2023-10-29,Domingo,12,15,SANTA FE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597812,A001604207,KR 19 - CL 31 C S 02,2023-10-31,Martes,18,30,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597818,A001604353,AC 26 S- KR 69 B S 02,2023-10-31,Martes,16,40,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597819,A001613433,KR 13 A - CL 24  02,2023-11-01,Miércoles,20,30,SANTA FE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597820,A001604324,CL 45 A S- KR 62  02,2023-11-01,Miércoles,10,28,TUNJUELITO,Choque,Vehículo,Desconocido,Con Muertos,Con Muertos,
10597828,A001604336,KR 30 - CL 27 S 02,2023-10-31,Martes,8,10,ANTONIO NARIÑO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597855,A001604416,KR 19 - CL 12  02,2023-11-02,Jueves,19,40,LOS MARTIRES,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597864,A001604481,CL 80 - KR 120  02,2023-11-01,Miércoles,15,40,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597866,A001604519,CL 72 - KR 70 D 02,2023-11-02,Jueves,22,14,ENGATIVA,Atropello,Desconocido,Desconocido,Con Muertos,Con Muertos,
10600104,A001606636,CL 26 S- KR 68 F 02,2023-12-29,Viernes,11,44,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10600110,A001606587,CL 55 S- KR 87 J 23,2023-12-28,Jueves,17,25,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600114,A001606629,KR 86 - CL 38 S 02,2023-12-28,Jueves,6,50,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600117,A001604661,CL 137 - KR 45  02,2023-12-28,Jueves,15,20,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600121,A001606524,CL 59 S- KR 87 C 02,2023-12-29,Viernes,7,0,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600126,A001606580,CL 17 S- KR 10  02,2023-12-30,Sábado,19,45,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10600132,A001606682,AK 72 - CL 7 B 02,2023-12-30,Sábado,5,5,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600134,A001606572,KR 1 E- CL 185  02,2023-12-28,Jueves,23,40,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10600146,A001605892,CL 13 - KR 65  02,2023-12-30,Sábado,18,40,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
